Date: 09-Aug-2019 15:20:03
Carousel: 19080905
Sample: DH4911
Target: 2
Location: 1
RockType: BASALT
Atmosphere: EARTH
DistToTarget: 202
LocationsPerSample: 6
IntegrationsPerLocation: 6
PulsesPerIntegration: 10
LaserAttenuation: 3.20
LaserRepetitionRate: 10
IntegrationTime: 1
IntegrationsAveraged: 1
UVTriggerDelay: 0
VISTriggerDelay: 0
VNIRTriggerDelay: 0
DarkSubtracted: YES
BoxcarSmoothing: 0
PulsesDiscarded: 10
SpectColumnsDiscarded: 1
SaturatedIntegrations: NONE
wave,i1,i2,i3,i4,i5
240.811000,0.000000,0.000000,0.000000,0.000000,0.000000
240.865000,0.000000,0.000000,0.000000,0.000000,0.000000
240.918000,0.000000,0.000000,0.000000,0.000000,0.000000
240.972000,0.000000,0.000000,0.000000,0.000000,0.000000
241.027000,0.000000,0.000000,0.000000,0.000000,0.000000
241.079000,0.000000,0.000000,0.000000,0.000000,0.000000
241.133000,0.000000,0.000000,0.000000,0.000000,0.000000
241.188000,0.000000,0.000000,0.000000,0.000000,0.000000
241.240000,0.000000,0.000000,0.000000,0.000000,0.000000
241.294000,0.000000,0.000000,0.000000,0.000000,0.000000
241.348000,0.000000,0.000000,0.000000,0.000000,0.000000
241.401000,0.000000,0.000000,0.000000,0.000000,0.000000
241.456000,0.000000,0.000000,-0.000000,0.000000,0.000000
241.508000,0.000000,0.000000,0.000000,0.000000,0.000000
241.562000,0.000000,0.000000,0.000000,0.000000,0.000000
241.616000,0.000000,0.000000,0.000000,0.000000,0.000000
241.669000,0.000000,0.000000,0.000000,0.000000,0.000000
241.723000,0.000000,0.000000,0.000000,0.000000,0.000000
241.777000,0.000000,-0.000000,0.000000,0.000000,0.000000
241.830000,0.000000,0.000000,0.000000,0.000000,0.000000
241.883000,0.000000,0.000000,0.000000,0.000000,0.000000
241.938000,0.000000,0.000000,0.000000,0.000000,0.000000
241.991000,0.000000,0.000000,0.000000,0.000000,0.000000
242.045000,0.000000,0.000000,0.000000,0.000000,0.000000
242.099000,0.000000,0.000000,0.000000,0.000000,0.000000
242.151000,0.000000,0.000000,0.000000,0.000000,0.000000
242.206000,0.000000,0.000000,0.000000,0.000000,0.000000
242.259000,0.000000,0.000000,0.000000,0.000000,0.000000
242.312000,0.000000,0.000000,0.000000,0.000000,0.000000
242.366000,0.000000,0.000000,0.000000,0.000000,0.000000
242.420000,0.000000,0.000000,0.000000,0.000000,0.000000
242.473000,0.000000,0.000000,0.000000,0.000000,0.000000
242.527000,0.000000,0.000000,0.000000,0.000000,0.000000
242.580000,0.000000,0.000000,0.000000,0.000000,0.000000
242.634000,0.000000,0.000000,0.000000,0.000000,0.000000
242.687000,0.000000,0.000000,0.000000,0.000000,0.000000
242.740000,0.000000,0.000000,0.000000,0.000000,0.000000
242.794000,0.000000,0.000000,0.000000,0.000000,0.000000
242.848000,0.000000,0.000000,0.000000,0.000000,0.000000
242.900000,0.000000,0.000000,0.000000,0.000000,0.000000
242.955000,0.000000,0.000000,0.000000,0.000000,0.000000
243.008000,0.000000,0.000000,0.000000,0.000000,0.000000
243.061000,0.000000,0.000000,0.000000,0.000000,0.000000
243.115000,0.000000,0.000000,0.000000,0.000000,0.000000
243.169000,0.000000,0.000000,0.000000,0.000000,0.000000
243.222000,0.000000,0.000000,0.000000,0.000000,0.000000
243.276000,0.000000,0.000000,0.000000,0.000000,-0.000000
243.329000,0.000000,0.000000,0.000000,0.000000,0.000000
243.383000,0.000000,0.000000,0.000000,0.000000,0.000000
243.436000,0.000000,0.000000,0.000000,0.000000,0.000000
243.489000,0.000000,0.000000,0.000000,0.000000,0.000000
243.543000,0.000000,0.000000,0.000000,0.000000,0.000000
243.596000,0.000000,0.000000,0.000000,0.000000,0.000000
243.650000,0.000000,0.000000,0.000000,0.000000,0.000000
243.703000,0.000000,0.000000,0.000000,0.000000,0.000000
243.757000,0.000000,0.000000,0.000000,0.000000,0.000000
243.810000,0.000000,0.000000,0.000000,0.000000,0.000000
243.863000,0.000000,-0.000000,0.000000,0.000000,0.000000
243.917000,0.000000,0.000000,0.000000,0.000000,0.000000
243.971000,0.000000,0.000000,0.000000,0.000000,0.000000
244.023000,0.000000,0.000000,0.000000,0.000000,0.000000
244.077000,0.000000,0.000000,0.000000,0.000000,0.000000
244.131000,0.000000,0.000000,0.000000,0.000000,0.000000
244.184000,0.000000,0.000000,0.000000,0.000000,0.000000
244.237000,0.000000,0.000000,0.000000,0.000000,0.000000
244.291000,0.000000,0.000000,0.000000,0.000000,0.000000
244.344000,0.000000,0.000000,0.000000,0.000000,0.000000
244.397000,0.000000,0.000000,0.000000,0.000000,0.000000
